# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# ybins      = 8   | ylabel: th_xq_CM [deg] 
# xbins      = 25   | xlabel: phi_xq [deg] 
# ybin width = 5.000 
# xbin width = 14.400 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  zcont[f,9]/  zcont_err[f,10]/  
     28         1         1        -172.8      -180    -165.6         2.5         0           5          36             6
     29         2         1        -158.4    -165.6    -151.2         2.5         0           5       27.75       5.29741
     30         3         1          -144    -151.2    -136.8         2.5         0           5        28.5       5.39676
     31         4         1        -129.6    -136.8    -122.4         2.5         0           5          21       4.58258
     32         5         1        -115.2    -122.4      -108         2.5         0           5          27       5.19615
     33         6         1        -100.8      -108     -93.6         2.5         0           5        27.5        5.3033
     34         7         1         -86.4     -93.6     -79.2         2.5         0           5          24       4.89898
     35         8         1           -72     -79.2     -64.8         2.5         0           5          34       5.83095
     36         9         1         -57.6     -64.8     -50.4         2.5         0           5          21       4.58258
     37        10         1         -43.2     -50.4       -36         2.5         0           5       19.75       4.47912
     38        11         1         -28.8       -36     -21.6         2.5         0           5          10       3.16228
     39        12         1         -14.4     -21.6      -7.2         2.5         0           5       13.75          3.75
     40        13         1   1.42109e-14      -7.2       7.2         2.5         0           5          14       3.74166
     41        14         1          14.4       7.2      21.6         2.5         0           5          16             4
     42        15         1          28.8      21.6        36         2.5         0           5          21       4.58258
     43        16         1          43.2        36      50.4         2.5         0           5       20.75       4.58939
     44        17         1          57.6      50.4      64.8         2.5         0           5       24.25       5.01871
     45        18         1            72      64.8      79.2         2.5         0           5       20.75       4.58939
     46        19         1          86.4      79.2      93.6         2.5         0           5       23.75       4.90535
     47        20         1         100.8      93.6       108         2.5         0           5       27.75       5.29741
     48        21         1         115.2       108     122.4         2.5         0           5       29.25       5.49432
     49        22         1         129.6     122.4     136.8         2.5         0           5          30       5.47723
     50        23         1           144     136.8     151.2         2.5         0           5          30       5.47723
     51        24         1         158.4     151.2     165.6         2.5         0           5       35.75       6.00521
     52        25         1         172.8     165.6       180         2.5         0           5       43.75       6.63796
     55         1         2        -172.8      -180    -165.6         7.5         5          10      131.75       11.4918
     56         2         2        -158.4    -165.6    -151.2         7.5         5          10         134       11.5758
     57         3         2          -144    -151.2    -136.8         7.5         5          10      113.75         10.68
     58         4         2        -129.6    -136.8    -122.4         7.5         5          10      102.25       10.1581
     59         5         2        -115.2    -122.4      -108         7.5         5          10        86.5       9.33408
     60         6         2        -100.8      -108     -93.6         7.5         5          10        74.5       8.66747
     61         7         2         -86.4     -93.6     -79.2         7.5         5          10       67.25       8.25757
     62         8         2           -72     -79.2     -64.8         7.5         5          10       50.25       7.15454
     63         9         2         -57.6     -64.8     -50.4         7.5         5          10       42.75        6.5622
     64        10         2         -43.2     -50.4       -36         7.5         5          10          42       6.48074
     65        11         2         -28.8       -36     -21.6         7.5         5          10          30       5.47723
     66        12         2         -14.4     -21.6      -7.2         7.5         5          10       27.75       5.29741
     67        13         2   1.42109e-14      -7.2       7.2         7.5         5          10       35.75       6.00521
     68        14         2          14.4       7.2      21.6         7.5         5          10          34       5.83095
     69        15         2          28.8      21.6        36         7.5         5          10       40.75         6.408
     70        16         2          43.2        36      50.4         7.5         5          10       29.75       5.48293
     71        17         2          57.6      50.4      64.8         7.5         5          10          52        7.2111
     72        18         2            72      64.8      79.2         7.5         5          10       69.25        8.3778
     73        19         2          86.4      79.2      93.6         7.5         5          10          84       9.16515
